pixel,intensity
1018.0,4.9777284
1019.0,3.9930496
1020.0,6.4031243
1021.0,7.2072496
1022.0,5.174725
1023.0,7.1937475
1024.0,4.8218255
1025.0,3.640055
1026.0,4.527693
1027.0,7.378648
1028.0,4.702245
1029.0,5.002777
1030.0,6.0621777
1031.0,3.4075081
1032.0,4.1466184
1033.0,3.9826012
1034.0,3.8005848
1035.0,4.41588
1036.0,6.3267508
1037.0,4.342938
1038.0,11.202679
1039.0,7.1414285
1040.0,16.867128
1041.0,18.91428
1042.0,14.066311
1043.0,9.417773
1044.0,13.190906
1045.0,8.602325
1046.0,21.938044
1047.0,16.81352
1048.0,7.1589108
1049.0,4.9272485
1050.0,5.196152
1051.0,5.380004
1052.0,4.055175
1053.0,3.3166249
1054.0,4.769696
1055.0,3.480102
1056.0,4.555217
1057.0,5.3489356
1058.0,6.819091
1059.0,6.8637533
1060.0,3.640055
1061.0,4.136558
1062.0,4.816061
1063.0,5.8190303
1064.0,4.769696
1065.0,3.218868
1066.0,4.555217
1067.0,4.974937
1068.0,5.315073
1069.0,4.690416
1070.0,4.772607
1071.0,3.9370039
1072.0,2.291288
1073.0,1.7638342
1074.0,5.1017427
1075.0,4.031129
1076.0,4.2720017
1077.0,4.2426405
1078.0,4.2130747
1079.0,5.5777335
1080.0,19.17029
1081.0,13.959266
1082.0,9.447222
1083.0,18.275667
1084.0,12.389512
1085.0,3.9826012
1086.0,6.0827627
1087.0,2.8915586
1088.0,3.0184617
1089.0,4.8218255
1090.0,6.0713353
1091.0,4.4001265
1092.0,3.6666667
1093.0,2.95804
1094.0,4.8218255
1095.0,6.016182
1096.0,9.288583
1097.0,9.380832
1098.0,5.230785
1099.0,7.06124
1100.0,4.5
1101.0,7.4405046
1102.0,7.535103
1103.0,5.87367
1104.0,6.463573
1105.0,9.243616
1106.0,6.1327896
1107.0,6.689544
1108.0,5.7469797
1109.0,7.5498343
1110.0,5.3851647
1111.0,8.958237
1112.0,8.447551
